time,symbol,open,close,high,low,volume,category
2012-08-05,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-06,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-07,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-08,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-12,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-13,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-14,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-15,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-08-16,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-19,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-08-21,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-08-22,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-08-23,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-08-26,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-08-27,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-08-28,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-08-29,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-08-30,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-02,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-03,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-04,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-05,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-06,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-09,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-10,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-11,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-12,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-13,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-16,FLOAT,32.0,32.0,32.0,32.0,0,index
2012-09-17,FLOAT,32.0,32.0,32.0,32.0,0,index
2012-09-18,FLOAT,32.0,32.0,32.0,32.0,0,index
2012-09-19,FLOAT,32.0,32.0,32.0,32.0,0,index
2012-09-20,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-23,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-24,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-25,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-26,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-09-30,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-10-01,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-10-02,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-10-03,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-10-04,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-10-07,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-10-08,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-10-09,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-10-10,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-10-11,FLOAT,30.0,30.0,30.0,30.0,0,index
2012-10-14,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-10-15,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-10-17,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-10-18,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-10-30,FLOAT,31.0,31.0,31.0,31.0,0,index
2012-10-31,FLOAT,32.0,32.0,32.0,32.0,0,index
2012-11-01,FLOAT,32.0,32.0,32.0,32.0,0,index
2012-11-04,FLOAT,32.0,32.0,32.0,32.0,0,index
2012-11-05,FLOAT,32.0,32.0,32.0,32.0,0,index
2012-11-06,FLOAT,33.0,33.0,33.0,33.0,0,index
2012-11-07,FLOAT,34.0,34.0,34.0,34.0,0,index
2012-11-08,FLOAT,34.0,34.0,34.0,34.0,0,index
2012-11-11,FLOAT,34.0,34.0,34.0,34.0,0,index
2012-11-12,FLOAT,34.0,34.0,34.0,34.0,0,index
2012-11-18,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-11-20,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-11-21,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-11-22,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-11-25,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-11-26,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-11-27,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-11-28,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-11-29,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-12-02,FLOAT,34.0,34.0,34.0,34.0,0,index
2012-12-03,FLOAT,34.0,34.0,34.0,34.0,0,index
2012-12-04,FLOAT,35.0,35.0,35.0,35.0,0,index
2012-12-05,FLOAT,35.0,35.0,35.0,35.0,0,index
