time,symbol,open,close,high,low,volume,category
2020-09-28,SENFLOAT,102.23,101.83,102.48,101.71,1329140000,index
2020-09-29,SENFLOAT,101.99,101.2,102.01,101.1,1130190000,index
2020-09-30,SENFLOAT,102.35,100.99,102.41,100.53,1280530000,index
2020-10-01,SENFLOAT,101.89,102.25,102.55,101.21,2219310000,index
2020-10-04,SENFLOAT,102.77,103.15,103.55,102.77,2184290000,index
2020-10-05,SENFLOAT,103.22,103.08,104.06,102.89,1832070000,index
2020-10-06,SENFLOAT,103.65,103.23,103.65,102.93,1702460000,index
2020-10-07,SENFLOAT,103.37,104.26,104.31,103.2,2338580000,index
2020-10-08,SENFLOAT,104.37,103.7,105.42,103.37,2019200000,index
2020-10-11,SENFLOAT,103.99,102.79,104.02,102.63,1787320000,index
2020-10-12,SENFLOAT,102.94,103.39,103.49,102.13,1552360000,index
2020-10-13,SENFLOAT,103.61,102.69,103.93,102.67,1344250000,index
2020-10-14,SENFLOAT,103.12,102.2,103.37,102.08,1122280000,index
2020-10-15,SENFLOAT,102.84,102.26,103.23,102.13,1051080000,index
2020-10-18,SENFLOAT,102.64,101.72,102.82,101.63,757059000,index
2020-10-19,SENFLOAT,101.73,102.61,102.61,101.59,742685000,index
2020-10-20,SENFLOAT,102.8,103.43,103.43,102.74,882045000,index
2020-10-21,SENFLOAT,104.08,104.75,104.75,103.95,1287710000,index
2020-10-22,SENFLOAT,105.58,105.31,105.58,104.71,1677100000,index
2020-10-28,SENFLOAT,105.88,108.61,108.61,105.88,2391240000,index
2020-10-29,SENFLOAT,109.16,108.51,109.97,108.15,2543260000,index
2020-11-01,SENFLOAT,109.56,107.9,109.62,107.62,2225490000,index
2020-11-02,SENFLOAT,107.68,107.56,108.39,107.41,2005380000,index
2020-11-03,SENFLOAT,107.24,107.53,107.97,107.09,1692670000,index
2020-11-04,SENFLOAT,108.21,107.34,108.21,107.18,1289720000,index
2020-11-05,SENFLOAT,107.46,106.68,107.66,106.54,2191390000,index
2020-11-08,SENFLOAT,107.41,107.06,107.41,106.83,2509780000,index
2020-11-09,SENFLOAT,106.5,106.58,107.19,106.44,2586490000,index
2020-11-10,SENFLOAT,106.67,107.31,107.39,106.67,3265190000,index
2020-11-11,SENFLOAT,107.25,108.64,108.64,107.2,3375600000,index
2020-11-12,SENFLOAT,109.13,109.26,109.58,108.6,3126900000,index
2020-11-18,SENFLOAT,108.95,109.21,109.35,108.36,3695130000,index
2020-11-19,SENFLOAT,109.74,110.34,110.34,109.57,4756240000,index
2020-11-22,SENFLOAT,111.34,111.25,112.26,110.11,5401000000,index
2020-11-23,SENFLOAT,111.44,111.19,111.88,110.83,3821660000,index
2020-11-24,SENFLOAT,111.97,111.92,112.32,111.59,4330630000,index
2020-11-25,SENFLOAT,113.22,115.33,115.36,113.04,5287950000,index
2020-11-26,SENFLOAT,116.41,116.57,118.23,115.88,6017620000,index
2020-11-29,SENFLOAT,117.85,123.97,124.24,117.72,7687580000,index
2020-11-30,SENFLOAT,126.9,124.41,129.26,123.69,7501530000,index
2020-12-01,SENFLOAT,125.17,122.28,125.6,121.6,5621440000,index
2020-12-02,SENFLOAT,123.3,125.3,125.53,122.66,6418340000,index
2020-12-03,SENFLOAT,126.97,124.07,128.34,123.39,5797410000,index
2020-12-06,SENFLOAT,124.3,118.07,124.3,118.07,4982910000,index
2020-12-07,SENFLOAT,118.03,121.31,121.31,117.46,4637430000,index
2020-12-08,SENFLOAT,123.54,120.63,123.54,119.8,4188270000,index
2020-12-09,SENFLOAT,121.52,118.01,121.52,117.8,3154450000,index
2020-12-10,SENFLOAT,118.74,118.65,118.9,117.11,2795340000,index
2020-12-13,SENFLOAT,119.95,121.64,121.64,119.3,3899760000,index
2020-12-14,SENFLOAT,122.76,123.55,123.69,122.54,6082570000,index
2020-12-15,SENFLOAT,125.57,123.34,125.59,122.63,5062280000,index
2020-12-16,SENFLOAT,125.57,123.28,125.57,122.8,4332200000,index
2020-12-17,SENFLOAT,124.13,123.29,124.42,122.67,5296710000,index
2020-12-20,SENFLOAT,124.0,119.04,124.0,118.91,6978850000,index
2020-12-21,SENFLOAT,118.14,121.24,121.75,115.21,5532820000,index
2020-12-22,SENFLOAT,123.1,125.74,125.89,123.04,5772710000,index
2020-12-23,SENFLOAT,127.64,125.63,129.24,125.1,6246170000,index
2020-12-24,SENFLOAT,126.28,124.68,126.42,124.03,4728500000,index
2020-12-27,SENFLOAT,125.14,123.29,125.39,122.88,3913650000,index
2020-12-28,SENFLOAT,123.32,123.87,124.14,122.22,3237760000,index
2020-12-29,SENFLOAT,124.34,123.36,124.58,123.19,3133900000,index
2020-12-30,SENFLOAT,123.47,125.54,125.58,123.34,3586540000,index
2020-12-31,SENFLOAT,126.44,127.9,129.4,126.37,4942000000,index
2021-01-03,SENFLOAT,128.89,132.97,132.97,128.89,5388070000,index
2021-01-04,SENFLOAT,134.28,132.91,135.22,132.08,4933160000,index
2021-01-05,SENFLOAT,132.93,132.54,133.54,131.68,3657870000,index
2021-01-06,SENFLOAT,132.76,134.05,134.15,132.76,3719470000,index
2021-01-07,SENFLOAT,135.0,135.64,136.07,134.49,5009700000,index
2021-01-10,SENFLOAT,135.74,138.67,138.7,135.74,5525250000,index
2021-01-11,SENFLOAT,139.94,139.26,141.11,138.66,4880580000,index
2021-01-12,SENFLOAT,140.53,140.36,141.16,138.62,4196660000,index
2021-01-13,SENFLOAT,140.73,140.94,141.89,140.62,4779800000,index
2021-01-17,SENFLOAT,141.55,142.34,142.49,141.38,5540210000,index
2021-01-18,SENFLOAT,142.34,142.9,143.79,142.34,5272520000,index
2021-01-19,SENFLOAT,144.34,142.04,144.39,140.71,6183610000,index
2021-01-20,SENFLOAT,144.06,142.3,144.06,141.48,5019730000,index
2021-01-21,SENFLOAT,143.97,143.05,143.97,142.56,6407830000,index
2021-01-24,SENFLOAT,143.77,144.35,145.61,143.77,7604360000,index
2021-01-25,SENFLOAT,146.64,144.52,146.64,143.03,7268010000,index
2021-01-26,SENFLOAT,145.68,143.3,145.68,143.15,7037250000,index
2021-01-27,SENFLOAT,143.74,142.76,143.89,142.59,6823560000,index
2021-01-28,SENFLOAT,143.5,141.54,143.5,141.19,8314830000,index
2021-01-31,SENFLOAT,141.44,138.22,141.44,138.03,7491160000,index
2021-02-01,SENFLOAT,138.53,139.74,140.63,138.53,5440970000,index
2021-02-02,SENFLOAT,140.94,143.68,143.68,140.94,6924250000,index
2021-02-03,SENFLOAT,144.19,144.0,146.87,143.55,7347110000,index
2021-02-04,SENFLOAT,144.23,144.68,144.75,142.86,5870530000,index
2021-02-07,SENFLOAT,144.82,146.36,146.58,144.72,8635200000,index
2021-02-08,SENFLOAT,147.28,149.66,149.66,147.04,9120790000,index
2021-02-09,SENFLOAT,150.35,148.27,151.95,147.8,6880520000,index
2021-02-10,SENFLOAT,149.45,149.52,150.1,146.67,6679060000,index
2021-02-11,SENFLOAT,149.59,149.16,151.42,148.76,7123290000,index
2021-02-14,SENFLOAT,149.11,146.57,149.11,146.13,5780500000,index
2021-02-15,SENFLOAT,147.15,152.2,152.2,148.88,9207720000,index
2021-02-16,SENFLOAT,154.29,154.09,156.02,152.83,9101050000,index
2021-02-17,SENFLOAT,154.88,155.06,155.06,153.38,6551690000,index
2021-02-18,SENFLOAT,156.65,156.98,157.47,155.1,7148550000,index
2021-02-21,SENFLOAT,158.51,156.16,158.55,155.09,6822450000,index
2021-02-22,SENFLOAT,157.37,152.72,157.43,152.44,6833670000,index
2021-02-23,SENFLOAT,153.78,151.93,153.78,148.22,6319510000,index
2021-02-24,SENFLOAT,153.17,152.63,155.3,151.99,5189430000,index
2021-02-25,SENFLOAT,154.73,149.74,154.75,149.36,4227240000,index
2021-02-28,SENFLOAT,149.65,145.07,149.65,145.0,6557550000,index
2021-03-01,SENFLOAT,146.49,147.21,147.93,143.33,4441570000,index
2021-03-02,SENFLOAT,147.28,143.86,147.82,142.91,4965150000,index
2021-03-03,SENFLOAT,143.73,142.25,142.44,140.29,5039100000,index
2021-03-04,SENFLOAT,143.71,146.79,146.79,142.99,4436350000,index
2021-03-07,SENFLOAT,147.51,146.07,147.53,144.97,3672050000,index
2021-03-09,SENFLOAT,146.81,144.49,146.81,144.03,3470060000,index
2021-03-10,SENFLOAT,145.37,143.92,145.37,143.53,2983020000,index
2021-03-14,SENFLOAT,144.75,141.17,144.82,140.53,3463970000,index
2021-03-15,SENFLOAT,141.61,139.83,142.34,139.43,2710410000,index
2021-03-16,SENFLOAT,140.79,140.24,141.59,139.14,2377050000,index
2021-03-17,SENFLOAT,141.09,142.51,142.51,140.19,2371190000,index
2021-03-18,SENFLOAT,144.16,144.27,144.9,142.96,3447030000,index
2021-03-21,SENFLOAT,145.5,147.44,147.44,145.06,4613490000,index
2021-03-22,SENFLOAT,148.42,145.83,148.42,145.47,3888030000,index
2021-03-23,SENFLOAT,146.8,145.94,146.82,144.67,3125470000,index
2021-03-24,SENFLOAT,146.67,148.14,148.18,146.67,4444160000,index
2021-03-25,SENFLOAT,148.91,146.46,149.21,146.29,4207490000,index
2021-03-29,SENFLOAT,146.6,146.48,146.97,145.79,2498360000,index
2021-03-30,SENFLOAT,146.75,148.42,148.48,146.58,4244650000,index
2021-03-31,SENFLOAT,149.64,151.06,151.2,149.25,4551650000,index
2021-04-01,SENFLOAT,151.82,151.57,152.12,150.92,5262460000,index
2021-04-04,SENFLOAT,152.37,152.95,153.08,152.34,6264090000,index
2021-04-05,SENFLOAT,154.39,152.76,154.39,152.16,4776760000,index
2021-04-06,SENFLOAT,153.55,154.14,154.15,152.15,4704510000,index
2021-04-07,SENFLOAT,156.36,154.64,156.36,154.23,5015860000,index
2021-04-08,SENFLOAT,154.74,154.77,155.68,153.87,4463090000,index
2021-04-12,SENFLOAT,155.07,156.68,156.81,155.07,5730990000,index
2021-04-13,SENFLOAT,157.35,159.22,159.22,156.63,5561770000,index
2021-04-15,SENFLOAT,160.11,161.25,162.78,160.11,6141570000,index
2021-04-18,SENFLOAT,161.71,159.01,162.0,158.99,6253110000,index
2021-04-19,SENFLOAT,159.14,156.58,159.17,156.17,4868910000,index
2021-04-20,SENFLOAT,157.57,156.64,158.08,155.49,3936510000,index
2021-04-21,SENFLOAT,156.68,154.41,156.84,154.04,4026250000,index
2021-04-22,SENFLOAT,155.34,155.27,155.5,153.07,4196590000,index
2021-04-25,SENFLOAT,155.58,151.03,155.58,150.55,4848220000,index
2021-04-26,SENFLOAT,151.75,147.44,151.79,147.17,4575930000,index
2021-04-27,SENFLOAT,146.65,152.28,152.28,146.65,3597470000,index
2021-04-28,SENFLOAT,154.41,151.2,153.47,150.78,2885560000,index
2021-04-29,SENFLOAT,152.66,152.37,152.7,151.31,2771570000,index
2021-05-02,SENFLOAT,152.23,154.85,154.85,152.16,4997630000,index
2021-05-03,SENFLOAT,155.87,153.98,156.25,153.54,5518400000,index
2021-05-04,SENFLOAT,154.07,154.06,154.59,153.13,3977190000,index
2021-05-05,SENFLOAT,155.65,153.71,155.65,153.56,3722130000,index
2021-05-06,SENFLOAT,154.75,153.37,154.75,152.49,4751140000,index
2021-05-09,SENFLOAT,154.79,152.83,154.79,152.26,4356870000,index
2021-05-10,SENFLOAT,152.73,153.92,153.94,152.43,2555810000,index
2021-05-11,SENFLOAT,153.66,154.78,155.1,153.61,3401590000,index
2021-05-12,SENFLOAT,155.73,154.53,155.9,154.14,2964110000,index
2021-05-13,SENFLOAT,156.79,155.08,156.79,154.74,3613570000,index
2021-05-16,SENFLOAT,155.64,158.29,158.29,155.64,6442610000,index
2021-05-17,SENFLOAT,159.03,159.1,160.09,158.53,6113850000,index
2021-05-18,SENFLOAT,160.39,160.83,160.83,159.35,7071930000,index
2021-05-19,SENFLOAT,161.37,160.44,162.47,159.82,8011320000,index
2021-05-20,SENFLOAT,161.23,161.64,161.9,160.68,6430110000,index
2021-05-23,SENFLOAT,160.91,165.3,165.3,158.8,8291790000,index
2021-05-24,SENFLOAT,166.7,165.31,167.38,164.14,10256900000,index
2021-05-25,SENFLOAT,165.68,163.77,165.89,163.49,7736880000,index
2021-05-27,SENFLOAT,160.86,163.95,165.17,160.34,9899440000,index
2021-05-30,SENFLOAT,164.88,166.01,167.47,164.65,11425100000,index
2021-05-31,SENFLOAT,167.24,163.97,167.73,163.83,9149916562,index
2021-06-01,SENFLOAT,164.28,163.21,165.07,161.96,5663578715,index
2021-06-02,SENFLOAT,164.04,165.9,165.9,162.93,7275760000,index
2021-06-03,SENFLOAT,166.6,169.39,170.66,166.6,12346800000,index
2021-06-06,SENFLOAT,172.3,172.81,174.17,171.49,12237800000,index
2021-06-07,SENFLOAT,174.32,172.81,174.32,171.64,11182000000,index
2021-06-08,SENFLOAT,174.26,176.08,176.96,174.0,11258100000,index
2021-06-09,SENFLOAT,178.71,174.8,178.71,174.1,12665300000,index
2021-06-10,SENFLOAT,175.67,175.2,175.99,173.34,11443600000,index
2021-06-13,SENFLOAT,176.02,179.34,179.34,175.93,13249100000,index
2021-06-14,SENFLOAT,180.63,183.14,185.15,180.61,13843322924,index
2021-06-15,SENFLOAT,185.21,181.74,186.08,181.42,12140144185,index
2021-06-16,SENFLOAT,180.44,179.22,183.55,177.49,10798211104,index
2021-06-17,SENFLOAT,180.58,178.95,180.58,177.51,7342070000,index
2021-06-20,SENFLOAT,179.86,174.68,179.86,173.27,8189230000,index
2021-06-21,SENFLOAT,175.64,170.9,175.7,170.36,7975440000,index
2021-06-22,SENFLOAT,171.23,176.3,176.3,169.88,6586110000,index
2021-06-23,SENFLOAT,176.76,173.0,177.6,172.8,5648715596,index
2021-06-24,SENFLOAT,173.08,171.88,173.94,171.44,4802924178,index
2021-06-27,SENFLOAT,173.57,173.6,175.12,170.91,5134930413,index
2021-06-28,SENFLOAT,175.06,174.64,175.5,173.44,5211958727,index
2021-06-29,SENFLOAT,174.9,171.53,175.65,171.18,4456420041,index
2021-06-30,SENFLOAT,173.0,171.64,173.11,168.59,4259682712,index
2021-07-01,SENFLOAT,172.63,173.16,174.52,172.26,4842590191,index
2021-07-04,SENFLOAT,173.47,172.64,174.21,172.41,3802820485,index
2021-07-05,SENFLOAT,172.97,172.14,173.2,171.49,3322218481,index
2021-07-06,SENFLOAT,172.71,171.89,173.12,171.49,3029983950,index
2021-07-07,SENFLOAT,171.47,171.48,172.4,171.09,3350105692,index
