version https://git-lfs.github.com/spec/v1
oid sha256:24c72ec44036ff9ad371650afed24da5f366ed220684d17676c080fdfd6be91c
size 207193
time,symbol,open,close,high,low,volume,category
2019-03-24,SENSITIVE,242.66,241.29,242.79,240.46,207703008,index
2019-03-25,SENSITIVE,241.28,242.25,242.47,240.78,229548992,index
2019-03-26,SENSITIVE,242.28,242.67,242.87,241.84,199183008,index
2019-03-27,SENSITIVE,242.79,243.19,243.25,242.56,210987008,index
2019-03-28,SENSITIVE,243.07,243.49,243.72,242.73,230192992,index
2019-03-31,SENSITIVE,243.84,243.35,244.76,242.47,254862000,index
2019-04-01,SENSITIVE,243.17,244.81,245.36,243.03,340102016,index
2019-04-02,SENSITIVE,245.78,248.15,248.27,245.78,508996992,index
2019-04-03,SENSITIVE,248.15,248.72,250.17,246.93,555902016,index
2019-04-04,SENSITIVE,248.72,248.57,249.72,247.26,409577984,index
2019-04-07,SENSITIVE,248.5,252.98,252.98,247.72,542806976,index
2019-04-08,SENSITIVE,253.25,255.0,256.56,252.27,913086976,index
2019-04-09,SENSITIVE,255.05,252.85,255.73,252.49,646820992,index
2019-04-10,SENSITIVE,253.01,253.58,254.45,251.52,371928000,index
2019-04-11,SENSITIVE,253.64,253.64,254.46,252.96,401572992,index
2019-04-15,SENSITIVE,253.7,254.77,254.77,253.18,302255008,index
2019-04-16,SENSITIVE,254.51,260.24,260.24,254.51,768147968,index
2019-04-17,SENSITIVE,260.32,261.57,263.05,259.76,831985984,index
2019-04-18,SENSITIVE,261.59,265.56,265.56,261.24,758713984,index
2019-04-21,SENSITIVE,265.63,273.41,273.41,264.94,1041720000,index
2019-04-22,SENSITIVE,273.55,271.37,277.3,269.21,1056310016,index
2019-04-23,SENSITIVE,271.29,272.27,274.26,269.44,577185024,index
2019-04-24,SENSITIVE,273.42,276.94,277.22,272.55,947080000,index
2019-04-25,SENSITIVE,277.04,279.67,281.05,277.04,1384359936,index
2019-04-28,SENSITIVE,280.09,282.85,285.07,280.09,1716339968,index
2019-04-29,SENSITIVE,283.85,281.84,284.74,279.41,1232589952,index
2019-04-30,SENSITIVE,281.95,279.1,283.36,278.73,967377984,index
2019-05-02,SENSITIVE,279.15,277.82,279.46,275.44,579427008,index
2019-05-05,SENSITIVE,277.67,273.96,277.67,273.91,621134976,index
2019-05-06,SENSITIVE,273.98,278.97,278.97,272.24,614246016,index
2019-05-07,SENSITIVE,278.69,279.24,281.75,278.1,703382016,index
2019-05-08,SENSITIVE,279.29,278.07,279.79,277.62,477288000,index
2019-05-09,SENSITIVE,278.06,276.52,279.31,276.08,610998016,index
2019-05-12,SENSITIVE,276.12,277.03,277.03,273.74,710793024,index
2019-05-13,SENSITIVE,277.45,278.24,278.51,276.43,622254016,index
2019-05-14,SENSITIVE,279.03,279.74,281.39,278.85,1017980032,index
2019-05-15,SENSITIVE,279.67,282.25,285.08,279.67,1277459968,index
2019-05-16,SENSITIVE,282.34,281.44,284.14,280.76,835550016,index
2019-05-19,SENSITIVE,281.58,280.79,282.56,280.06,980192000,index
2019-05-20,SENSITIVE,281.51,279.8,282.2,279.16,1054979968,index
2019-05-21,SENSITIVE,279.65,279.91,281.75,278.85,869392000,index
2019-05-22,SENSITIVE,280.12,281.27,282.12,280.12,1052310016,index
2019-05-23,SENSITIVE,281.28,280.38,282.24,278.54,1042390016,index
2019-05-26,SENSITIVE,280.51,277.56,281.14,277.46,649648000,index
2019-05-27,SENSITIVE,277.74,277.61,279.0,276.59,480160992,index
2019-05-28,SENSITIVE,277.01,277.81,278.53,277.0,624452992,index
2019-05-29,SENSITIVE,277.82,279.92,279.92,277.82,765614976,index
2019-05-30,SENSITIVE,281.27,281.15,287.66,280.61,1426520064,index
2019-06-02,SENSITIVE,280.32,278.12,280.72,277.87,795820032,index
2019-06-03,SENSITIVE,278.3,275.48,278.96,275.12,661494016,index
2019-06-04,SENSITIVE,275.31,274.86,276.43,274.23,615507008,index
2019-06-06,SENSITIVE,276.8,273.89,277.11,273.89,539596992,index
2019-06-10,SENSITIVE,274.16,272.46,274.68,271.61,562851968,index
2019-06-11,SENSITIVE,272.46,272.86,273.76,272.46,456008992,index
2019-06-12,SENSITIVE,272.85,272.36,273.19,271.16,400868992,index
2019-06-13,SENSITIVE,272.51,271.81,273.14,270.51,431408000,index
2019-06-16,SENSITIVE,272.45,269.97,272.45,269.51,466195008,index
2019-06-17,SENSITIVE,270.07,270.26,271.7,269.14,385627008,index
2019-06-18,SENSITIVE,270.79,270.29,271.08,270.07,345840992,index
2019-06-19,SENSITIVE,270.02,270.52,271.03,269.89,285492000,index
2019-06-20,SENSITIVE,270.58,271.6,271.84,270.08,354687008,index
2019-06-23,SENSITIVE,271.59,269.6,271.59,269.48,451844992,index
2019-06-24,SENSITIVE,269.72,271.04,271.07,269.4,419097984,index
2019-06-25,SENSITIVE,271.09,271.44,272.08,270.95,343486016,index
2019-06-26,SENSITIVE,271.62,270.81,271.7,270.2,742254016,index
2019-06-27,SENSITIVE,270.76,271.16,271.46,270.68,741148992,index
2019-06-30,SENSITIVE,271.4,269.24,271.57,269.09,518584000,index
2019-07-01,SENSITIVE,269.38,268.51,269.38,267.32,355072000,index
2019-07-02,SENSITIVE,268.59,269.96,269.96,267.92,429992992,index
2019-07-03,SENSITIVE,270.04,272.98,273.37,269.45,544574016,index
2019-07-04,SENSITIVE,273.29,271.45,273.97,271.17,625606016,index
2019-07-07,SENSITIVE,271.86,270.35,271.97,269.95,534116992,index
2019-07-08,SENSITIVE,270.4,268.79,270.66,268.21,463715008,index
2019-07-09,SENSITIVE,268.81,269.06,269.31,267.95,423428000,index
2019-07-10,SENSITIVE,269.08,268.33,269.41,268.07,406428992,index
2019-07-11,SENSITIVE,268.48,268.32,268.91,268.16,437395008,index
2019-07-14,SENSITIVE,268.48,268.57,269.55,268.42,252840000,index
2019-07-15,SENSITIVE,268.65,270.28,270.3,268.48,339355008,index
2019-07-16,SENSITIVE,276.39,271.25,276.39,270.75,294892992,index
2019-07-17,SENSITIVE,271.21,274.11,274.11,271.02,397078016,index
2019-07-18,SENSITIVE,274.22,273.84,276.04,273.84,333054016,index
2019-07-21,SENSITIVE,274.15,273.3,274.24,272.53,274228000,index
2019-07-22,SENSITIVE,273.31,273.5,273.82,272.89,323928000,index
2019-07-23,SENSITIVE,273.41,274.41,275.46,273.41,379713984,index
2019-07-24,SENSITIVE,274.36,276.13,276.47,274.36,450795008,index
2019-07-25,SENSITIVE,276.18,273.47,276.18,273.43,551065024,index
2019-07-28,SENSITIVE,273.2,270.04,273.2,269.52,485729984,index
2019-07-29,SENSITIVE,270.09,271.11,271.76,270.09,342315008,index
2019-07-30,SENSITIVE,271.16,272.14,272.57,271.16,245263008,index
2019-07-31,SENSITIVE,272.18,273.24,273.49,271.54,350719008,index
2019-08-01,SENSITIVE,273.3,272.53,274.02,272.21,499312000,index
2019-08-04,SENSITIVE,272.34,271.78,273.09,271.4,462823008,index
2019-08-05,SENSITIVE,271.79,271.01,272.27,270.62,428523008,index
2019-08-06,SENSITIVE,271.02,269.1,271.07,268.78,437660992,index
2019-08-07,SENSITIVE,269.32,269.96,270.5,268.27,348440992,index
2019-08-08,SENSITIVE,269.8,268.0,270.64,267.77,281614016,index
2019-08-11,SENSITIVE,267.83,267.6,268.36,266.65,244820000,index
2019-08-12,SENSITIVE,267.74,267.72,268.7,267.4,241011008,index
2019-08-13,SENSITIVE,268.01,267.14,268.12,266.51,444384000,index
2019-08-14,SENSITIVE,267.09,265.93,267.46,265.6,229340000,index
2019-08-15,SENSITIVE,265.69,264.68,265.93,264.38,333772992,index
2019-08-18,SENSITIVE,265.08,263.11,265.46,262.75,301516992,index
2019-08-19,SENSITIVE,263.13,264.96,266.73,262.29,325384992,index
2019-08-20,SENSITIVE,265.06,263.19,265.06,263.04,254144000,index
2019-08-21,SENSITIVE,263.33,263.41,264.12,262.7,277563008,index
2019-08-22,SENSITIVE,263.55,263.7,265.15,263.35,249587000,index
2019-08-25,SENSITIVE,263.58,263.43,263.63,261.45,309472000,index
2019-08-26,SENSITIVE,263.46,262.37,263.64,261.68,264614000,index
2019-08-27,SENSITIVE,262.5,263.39,264.41,262.5,242799000,index
2019-08-28,SENSITIVE,264.11,261.4,264.87,261.25,258508000,index
2019-08-29,SENSITIVE,261.69,261.24,262.14,260.65,257660000,index
2019-09-01,SENSITIVE,261.35,259.29,262.04,259.02,279650000,index
2019-09-02,SENSITIVE,259.17,256.31,261.72,255.87,430227000,index
2019-09-03,SENSITIVE,256.38,260.23,260.23,253.44,416126000,index
2019-09-04,SENSITIVE,260.64,260.86,261.66,258.53,426740000,index
2019-09-05,SENSITIVE,260.87,259.9,261.74,259.47,291825000,index
2019-09-08,SENSITIVE,259.9,257.13,260.08,256.76,246657000,index
2019-09-09,SENSITIVE,257.13,255.35,257.53,254.48,246931000,index
2019-09-10,SENSITIVE,255.35,255.57,256.65,254.0,224197000,index
2019-09-11,SENSITIVE,255.57,254.78,255.93,254.49,295355000,index
2019-09-12,SENSITIVE,254.79,253.79,255.15,253.45,314822000,index
2019-09-15,SENSITIVE,253.79,250.01,254.97,250.01,273613000,index
2019-09-16,SENSITIVE,250.2,246.35,250.2,246.04,332428000,index
2019-09-17,SENSITIVE,247.83,251.57,252.83,247.83,353735000,index
2019-09-18,SENSITIVE,251.59,255.3,257.33,251.59,387357000,index
2019-09-19,SENSITIVE,255.7,252.21,256.69,252.21,344518000,index
2019-09-22,SENSITIVE,252.21,249.71,253.53,248.55,171759000,index
2019-09-23,SENSITIVE,249.71,249.81,250.78,249.53,170949000,index
2019-09-24,SENSITIVE,249.81,248.41,250.21,248.05,180222000,index
2019-09-25,SENSITIVE,248.41,247.7,248.69,247.44,154807000,index
2019-09-26,SENSITIVE,247.7,247.32,248.03,246.82,214898000,index
2019-09-29,SENSITIVE,247.34,246.33,248.14,246.28,210754000,index
2019-09-30,SENSITIVE,246.33,247.02,247.29,244.75,156291000,index
2019-10-01,SENSITIVE,247.05,250.21,250.39,247.03,182819000,index
2019-10-02,SENSITIVE,250.21,249.78,251.56,249.46,208609000,index
2019-10-03,SENSITIVE,250.39,251.97,251.97,249.71,172111000,index
2019-10-10,SENSITIVE,251.97,251.93,252.95,251.38,64080800,index
2019-10-14,SENSITIVE,251.93,249.17,252.82,248.8,199284000,index
2019-10-15,SENSITIVE,249.78,250.22,250.45,249.39,180689000,index
2019-10-16,SENSITIVE,250.22,248.58,250.52,248.58,195354000,index
2019-10-17,SENSITIVE,248.58,249.12,250.06,248.58,167240000,index
2019-10-20,SENSITIVE,249.12,248.35,249.65,247.88,109718000,index
2019-10-21,SENSITIVE,248.35,247.98,249.4,247.51,162615000,index
2019-10-22,SENSITIVE,248.0,248.49,248.64,247.55,157032000,index
2019-10-23,SENSITIVE,248.7,250.17,250.42,248.7,159183000,index
2019-10-24,SENSITIVE,250.22,252.05,252.33,250.06,315019000,index
2019-10-31,SENSITIVE,252.23,252.08,252.64,251.09,184288000,index
2019-11-03,SENSITIVE,251.94,250.46,252.29,249.4,159898000,index
2019-11-04,SENSITIVE,250.46,250.51,251.26,249.44,184472000,index
2019-11-05,SENSITIVE,250.51,250.12,250.87,249.91,254347000,index
2019-11-06,SENSITIVE,250.12,249.71,250.75,249.43,203697000,index
2019-11-07,SENSITIVE,249.82,248.31,249.99,248.27,353235000,index
2019-11-10,SENSITIVE,248.31,249.01,249.82,248.19,292902000,index
2019-11-11,SENSITIVE,249.39,252.29,252.76,249.39,487692000,index
