source,target,correlation,abs_correlation,relationship_type,source_price_movement,source_close,source_traded_quantity,source_traded_amount,target_price_movement,target_close,target_traded_quantity,target_traded_amount
CZBIL,PCBL,0.9207486602124996,0.9207486602124996,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
EBL,MBL,0.9163825728351064,0.9163825728351064,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464
EBL,SANIMA,0.911837887451918,0.911837887451918,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
HBL,NABIL,0.9118230619102442,0.9118230619102442,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765
GBIME,PRVU,0.9110313410371308,0.9110313410371308,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
NABIL,SANIMA,0.9094549427939422,0.9094549427939422,positive,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
MBL,SANIMA,0.909360774360791,0.909360774360791,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
PCBL,SANIMA,0.9074051689219538,0.9074051689219538,positive,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
SANIMA,SBI,0.9030120711156292,0.9030120711156292,positive,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
HBL,PCBL,0.9027707433800246,0.9027707433800246,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
CZBIL,SCB,0.9017371783527576,0.9017371783527576,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
CZBIL,HBL,0.8995481282658851,0.8995481282658851,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225
PCBL,PRVU,0.8944745964728071,0.8944745964728071,positive,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577,-1.0231106094808127,266.31362528216704,119428.97787810383,33784657.46783747
MBL,NABIL,0.8938455587447915,0.8938455587447915,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765
CZBIL,GBIME,0.8925107899175415,0.8925107899175415,positive,-0.11757237715803442,316.919609561753,37718.0764940239,11387899.13330146,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668
