S. No.,Banks,Year(Month),Solvency Core Capital,Total C a pital Fund,CCAR# (In %),CAR# (In %),Liquidity Total Deposit,LCY Deposit,Total Loan,L C Y L o an,CCD R a t i o * (In %),Net Liquidity (In %),SLR (In %),Base Rate (In %),Spread (In %),NPL* (In %),Net NPL (In %),Total Priority Sector Loan,Public Deposit
21,Sunrise Bank Ltd.,2078(09),13739,19121,9.13,12.7,131695,129831,125375,123668,89.65,21.21,18.98,8.94,2.9,1.41,,34.58,82673
22,NMB Bank Ltd.,2078(09),23336,30850,10.65,14.08,182775,178495,179232,173261,90.55,24.61,17.55,8.58,2.64,1.49,,33.35,109268
23,Prabhu Bank Ltd.,2078(09),15467,23329,8.55,12.89,167449,166896,148403,145975,84.82,23.88,19.32,8.68,3.27,1.23,,21.57,99861
24,Mega Bank Nepal Ltd.,2078(09),19887,21914,11.64,12.83,143803,143350,146985,144907,94.3,20.15,14.32,8.77,2.64,1.05,,26.2,87819
25,Civil Bank Ltd.,2078(09),10617,14868,10.79,15.12,92721,90690,87572,80665,90.86,20.09,17.25,9.74,3.05,0.94,,23.08,41835
26,Century Commercial Bank Ltd.,2078(09),11172,12409,10.75,11.94,94735,94568,88171,87061,90.83,21.06,19.25,8.82,2.57,1.3,,23.91,44400
27,Sanima Bank Ltd.,2078(09),14301,20916,9.08,13.28,145644,143241,140495,136070,86.86,20.7,16.21,8.08,2.91,0.31,,28.08,96361
,Sub Total,2078(09),431883,560955,10.04,13.04,3739035,3642318,3581882,3474679,90.84,21.33,17.79,8.59,2.91,0.99,,26.06,2104734
,Grand Total,2078(09),511524,657343,10.36,13.31,4324576,4227128,4143700,4033176,90.87,21.78,18.16,8.42,2.99,1.18,,29.87,2517743
1,Nepal Bank Ltd.,2078(12),23864,30011,12.07,15.17,187971,187462,178341,178338,90.6,20.47,18.25,8.19,3.39,2.06,,43.95,143929
2,Rastriya Banijya Bank Ltd.,2078(12),26210,32122,11.01,13.49,245814,244764,225768,225586,86.58,21.43,20.77,7.31,3.62,3.07,,36.94,174972
3,Agriculture Dev. Bank Ltd.,2078(12),30788,36169,13.49,15.85,160552,160260,178165,178165,94.46,21.89,20.32,8.28,4.33,2.32,,65.3,101278
,Sub Total,2078(12),80862,98303,12.18,14.8,594337,592486,582274,582089,90.1,21.25,19.87,7.93,3.78,2.53,,47.89,420178
4,Nabil Bank Ltd.,2078(12),29980,37456,11.03,13.78,237387,226967,228243,222609,92.22,20.72,18.31,8.58,3.73,1.14,,22.05,127559
5,Nepal Investment Bank Ltd.,2078(12),27932,36688,11.26,14.79,181261,169591,177808,171083,93.16,24.72,18.1,8.38,3.27,2.2,,21.46,101986
6,Standard Chartered Bank Nepal Ltd.,2078(12),16352,18131,14.34,15.9,109616,80175,89591,87665,82.31,33.18,21.92,7.55,2.96,0.36,,20.33,51537
7,Himalayan Bank Ltd.,2078(12),19283,23742,10.07,12.4,168065,156477,158809,154315,90.93,20.09,26.88,9.73,3.39,0.99,,24.41,86163
8,Nepal SBI Bank Ltd.,2078(12),15360,19360,10.54,13.29,114547,113014,112834,112621,93.17,18.14,16.9,8.98,4.06,0.14,,24.78,64467
9,Nepal Bangladesh Bank Ltd.,2078(12),15052,18389,11.41,13.94,83500,81629,79262,78504,93.44,24.53,21.13,9.47,2.94,2.3,,30.95,34880
10,Everest Bank Ltd.,2078(12),18550,20659,11,12.25,162394,159608,152503,151666,91.84,29.44,20.22,8.47,3.55,0.26,,22.34,104841
11,Bank of Kathmandu Ltd.,2078(12),14925,17851,11.41,13.65,104816,103350,107962,106852,95.83,20.01,15.22,8.96,3.7,1.45,,24.94,57542
12,Nepal Credit and Commerce Bank Ltd.,2078(12),14555,19268,9.52,12.6,132390,131062,122324,121192,93.8,23.65,14.42,9.28,3.33,1.52,,21.35,59408
13,NIC Asia Bank Ltd.,2078(12),21676,33293,8.54,13.11,302810,302467,274743,274743,85.95,20.07,19.1,9.39,4.4,0.51,,23.24,171636
14,Machhapuchhre Bank Ltd.,2078(12),13076,20277,8.83,13.7,143769,138834,132389,131333,89.13,21.06,13.78,9.63,4.19,0.87,,24.52,92773
15,Kumari Bank Ltd.,2078(12),18102,23541,9.36,12.18,171507,167807,161494,158545,94.88,18.23,12.38,9.85,3.97,0.96,,20.06,84143
16,Laxmi Bank Ltd.,2078(12),14383,20494,8.79,12.52,135379,131938,132351,130370,87.2,18.87,13.51,9.64,3.08,1.08,,18.96,87929
17,Siddharth Bank Ltd.,2078(12),18838,27347,8.82,12.81,192640,190998,184959,183700,90.45,19.02,15.72,9.53,3.74,1.12,,25.27,112836
18,GlobalIME Bank Ltd.,2078(12),31843,39877,10.1,12.65,279506,276590,274303,272561,93.19,20.04,15.76,9.42,3.44,1.45,,25.39,175826
19,Citizens Bank International Ltd.,2078(12),18230,22292,11.14,13.62,146617,141571,136726,136726,92.02,20.41,14.65,9.81,3.71,1.72,,28.18,89117
20,Prime Commercial Bank Ltd.,2078(12),24589,26913,12.06,13.2,158611,157487,161613,161077,99.69,15.91,13.06,9.68,4.1,0.94,,26.38,72051
21,Sunrise Bank Ltd.,2078(12),14075,19494,9.27,12.84,130430,128161,125488,125437,92.4,19.04,16.1,10.11,3.57,1.37,,31.24,83716
22,NMB Bank Ltd.,2078(12),24066,31630,10.73,14.1,186148,182439,184482,179617,87.55,24.4,18.99,9.2,3.54,1.46,,30.74,113972
23,Prabhu Bank Ltd.,2078(12),15809,23779,8.7,13.08,171270,168868,148989,147839,81.7,21.63,18.24,9.29,3.87,1.21,,22.99,101245
24,Mega Bank Nepal Ltd.,2078(12),20152,22260,11.69,12.91,149401,148675,150019,148269,94.49,20.17,12.5,10.1,3.25,0.72,,27.7,92446
25,Civil Bank Ltd.,2078(12),10996,15261,11.39,15.81,91949,90006,87977,82030,93.29,20.91,15.03,10.24,3.85,0.99,,23.52,42551
26,Century Commercial Bank Ltd.,2078(12),11295,12534,10.54,11.7,92962,91856,89653,89653,93.61,18.08,15.3,9.63,3.94,1.6,,22.58,43529
27,Sanima Bank Ltd.,2078(12),14663,21281,9.31,13.51,147871,144422,141076,138215,87.44,20.68,15.49,9.01,3.2,0.38,,27.19,98256
