source,target,correlation,abs_correlation,relationship_type
NBL,PCBL,0.7712782525329696,0.7712782525329696,positive
PRVU,SANIMA,0.7637575162013637,0.7637575162013637,positive
ADBL,EBL,0.7612450071729255,0.7612450071729255,positive
NBB,SBI,0.7612038484093199,0.7612038484093199,positive
ADBL,SCB,0.7501833718637935,0.7501833718637935,positive
HBL,PRVU,0.7478378568569573,0.7478378568569573,positive
MBL,PRVU,0.7417435965231407,0.7417435965231407,positive
CZBIL,NBB,0.7377675569840881,0.7377675569840881,positive
NBB,SCB,0.7300968918363852,0.7300968918363852,positive
PRVU,SBL,0.7182403468243191,0.7182403468243191,positive
ADBL,KBL,0.7113073342815409,0.7113073342815409,positive
NBB,SANIMA,0.6910701905514601,0.6910701905514601,positive
EBL,PRVU,0.6656026295344487,0.6656026295344487,positive
PRVU,SBI,0.6640664663376239,0.6640664663376239,positive
KBL,NBL,0.6631057857770155,0.6631057857770155,positive
PRVU,SCB,0.6569524837662847,0.6569524837662847,positive
NBL,SBL,0.6467503509632887,0.6467503509632887,positive
ADBL,NBB,0.646589757877333,0.646589757877333,positive
NABIL,NBL,0.641189294751765,0.641189294751765,positive
HBL,NBL,0.6397857429862025,0.6397857429862025,positive
NBB,PCBL,0.6383488727225781,0.6383488727225781,positive
KBL,NBB,0.6361494526338543,0.6361494526338543,positive
CZBIL,NBL,0.6293170079852709,0.6293170079852709,positive
NABIL,NBB,0.620239728239594,0.620239728239594,positive
MBL,NBL,0.6178812190925072,0.6178812190925072,positive
HBL,NBB,0.6150837332900282,0.6150837332900282,positive
NBL,SANIMA,0.5980894536917176,0.5980894536917176,positive
GBIME,NBB,0.5714403762263713,0.5714403762263713,positive
NICA,PRVU,0.5520593257462271,0.5520593257462271,positive
NBL,SBI,0.5358171882540917,0.5358171882540917,positive
NABIL,NICA,0.5303711762922867,0.5303711762922867,positive
MBL,NICA,0.5053365980738297,0.5053365980738297,positive
EBL,NBL,0.49826410234999235,0.49826410234999235,positive
NICA,PCBL,0.49814769599583125,0.49814769599583125,positive
NBL,SCB,0.49400668174627843,0.49400668174627843,positive
GBIME,NICA,0.4880956014670249,0.4880956014670249,positive
CZBIL,NICA,0.47228584893061243,0.47228584893061243,positive
NBB,NBL,0.4653608048958805,0.4653608048958805,positive
