bank_code,year_month,close,high,low,per_change,traded_quantity,traded_amount
PCBL,2013-11,351.15,409.0,317.0,1.16,145724.0,52656204.0
PCBL,2013-12,476.9,585.0,369.0,1.39,406371.0,198348405.0
PCBL,2014-01,488.8,515.0,450.0,-0.1,90161.0,44136859.0
PCBL,2014-02,496.12,539.0,451.0,0.38,105079.0,52404697.0
PCBL,2014-03,465.58,497.0,433.0,-0.35,92174.0,42906654.0
PCBL,2014-04,467.89,495.0,449.0,-0.19,170674.0,80156539.0
PCBL,2014-05,478.63,520.0,446.0,0.22,143070.0,69371339.0
PCBL,2014-06,520.18,573.0,468.0,0.63,347042.0,183470761.0
PCBL,2014-07,590.05,640.0,537.0,0.67,316858.0,187827739.0
PCBL,2014-08,570.11,633.0,510.0,-0.95,265190.0,150954076.0
PCBL,2014-09,509.37,556.0,474.0,0.08,166237.0,84344874.0
PCBL,2014-10,503.8,524.0,481.0,-0.28,92451.0,46559479.0
PCBL,2014-11,480.84,501.0,437.0,-0.19,140563.0,67279364.0
PCBL,2014-12,496.86,550.0,431.0,-0.33,214472.0,109213258.0
PCBL,2015-01,457.74,499.0,427.0,0.51,92560.0,42552002.0
PCBL,2015-02,470.11,504.0,448.0,-0.26,79361.0,37032049.0
PCBL,2015-03,443.48,467.0,415.0,-0.24,186005.0,81114313.0
PCBL,2015-04,440.75,452.0,424.0,0.13,86233.0,37926326.0
PCBL,2015-05,403.67,437.0,387.0,-3.4,9484.0,3752211.0
PCBL,2015-06,448.21,486.0,405.0,0.51,310763.0,140202335.0
PCBL,2015-07,460.53,570.0,430.0,0.45,234845.0,111659116.0
PCBL,2015-08,568.09,680.0,477.0,1.08,445107.0,248443671.0
PCBL,2015-09,616.21,665.0,580.0,0.15,452046.0,281637234.0
PCBL,2015-10,594.93,630.0,536.0,-0.65,140739.0,83716111.0
PCBL,2015-11,564.79,632.0,517.0,-0.3,165299.0,92725695.0
PCBL,2015-12,581.27,629.0,494.0,-0.27,380940.0,225617882.0
PCBL,2016-01,497.95,535.0,478.0,0.09,177482.0,88645340.0
PCBL,2016-02,521.58,549.0,500.0,0.24,294432.0,153690548.0
PCBL,2016-03,549.16,595.0,525.0,0.35,274384.0,152142126.0
PCBL,2016-04,596.11,647.0,550.0,0.63,321412.0,195099390.0
PCBL,2016-05,651.32,713.0,602.0,0.31,643026.0,422194391.0
PCBL,2016-06,706.86,774.0,620.0,0.61,783081.0,553117217.0
PCBL,2016-07,803.05,932.0,714.0,0.82,823847.0,694735384.0
PCBL,2016-08,678.43,890.0,610.0,-0.95,815973.0,620000105.0
PCBL,2016-09,678.89,740.0,620.0,-0.48,406281.0,278377273.0
PCBL,2016-10,648.73,673.0,625.0,0.14,146806.0,95174993.0
PCBL,2016-11,570.32,653.0,473.0,-0.68,275689.0,153989310.0
PCBL,2016-12,513.89,570.0,471.0,-0.65,234938.0,120140663.0
PCBL,2017-01,443.76,520.0,341.0,-1.31,290790.0,136648648.0
PCBL,2017-02,372.32,417.0,331.0,-0.05,373733.0,137971787.0
PCBL,2017-03,391.84,477.0,360.0,1.02,416946.0,169862477.0
PCBL,2017-04,460.89,504.0,432.0,0.2,545786.0,252734984.0
PCBL,2017-05,437.56,469.0,403.0,-0.46,221275.0,95636389.0
PCBL,2017-06,410.89,441.0,393.0,-0.06,410852.0,168692790.0
PCBL,2017-07,423.14,452.0,393.0,0.3,466641.0,198270770.0
PCBL,2017-08,446.35,464.0,430.0,-0.03,657176.0,294830920.0
PCBL,2017-09,426.07,440.0,410.0,0.04,340898.0,144898546.0
PCBL,2017-10,442.06,455.0,421.0,0.22,332445.0,147211470.0
PCBL,2017-11,436.32,451.0,420.0,-0.1,515053.0,225376622.0
PCBL,2017-12,387.28,456.0,298.0,-1.89,476659.0,194414143.0
PCBL,2018-01,304.95,316.0,298.0,0.09,190677.0,58166940.0
PCBL,2018-02,305.67,319.0,300.0,-0.11,203722.0,62399201.0
PCBL,2018-03,290.44,300.0,265.0,-0.21,212863.0,61123850.0
PCBL,2018-04,304.86,350.0,275.0,0.6,506960.0,159313416.0
PCBL,2018-05,318.24,332.0,306.0,-0.17,313170.0,99840609.0
PCBL,2018-06,293.16,315.0,279.0,-0.57,237201.0,69678014.0
PCBL,2018-07,284.83,298.0,273.0,0.08,332103.0,93930041.0
PCBL,2018-08,288.71,303.0,276.0,0.16,277775.0,80775841.0
PCBL,2018-09,324.84,352.0,293.0,0.66,851731.0,279097010.0
PCBL,2018-10,329.55,339.0,319.0,-0.05,333121.0,109514117.0
PCBL,2018-11,326.63,336.0,294.0,-0.25,164863.0,53871990.0
PCBL,2018-12,326.05,350.0,310.0,0.31,471857.0,156467351.0
PCBL,2019-01,328.35,344.0,319.0,-0.25,293042.0,95949560.0
PCBL,2019-02,312.16,324.0,302.0,-0.23,237586.0,74268311.0
PCBL,2019-03,316.11,325.0,303.0,0.21,281277.0,88880175.0
PCBL,2019-04,339.95,370.0,317.0,0.51,1132440.0,390526733.0
PCBL,2019-05,349.1,397.0,307.0,0.1,1148076.0,413224020.0
PCBL,2019-06,291.58,317.0,275.0,-0.62,334453.0,97809482.0
PCBL,2019-07,281.13,293.0,271.0,0.15,301763.0,84188580.0
PCBL,2019-08,276.67,285.0,272.0,-0.15,215484.0,59557009.0
PCBL,2019-09,265.91,277.0,256.0,-0.18,223540.0,59682934.0
PCBL,2019-10,265.43,277.0,262.0,-0.02,163387.0,43389647.0
PCBL,2019-11,268.7,281.0,260.0,0.19,400824.0,108227903.0
PCBL,2019-12,273.09,286.0,234.0,-0.59,673806.0,185653618.0
PCBL,2020-01,261.77,290.0,233.0,0.7,924974.0,248421412.0
PCBL,2020-02,291.6,345.0,270.0,1.05,1845243.0,556073354.0
PCBL,2020-03,288.93,352.0,245.0,-1.98,1443663.0,432897474.0
PCBL,2020-05,245.0,247.0,245.0,-2.78,310.0,76350.0
PCBL,2020-06,237.5,243.0,221.0,-0.52,49101.0,11426526.0
PCBL,2020-07,264.55,316.0,219.19,0.72,1412032.0,382732958.0
PCBL,2020-08,273.38,292.0,257.0,0.08,1370913.0,375380305.0
PCBL,2020-09,285.05,305.0,273.0,0.04,1784275.0,512755771.0
PCBL,2020-10,295.72,344.0,285.0,0.9,2097803.0,648484235.0
PCBL,2020-11,363.32,436.0,331.0,1.09,5603222.0,2056607639.0
PCBL,2020-12,405.83,440.0,374.0,0.22,5581800.0,2273964071.0
PCBL,2021-01,440.45,482.0,396.0,0.94,6496614.0,2892565576.0
PCBL,2021-02,461.65,495.0,436.0,-0.05,4313035.0,1993626231.0
PCBL,2021-03,432.65,449.0,409.0,0.03,1875946.0,807360380.0
PCBL,2021-04,437.05,484.0,413.0,-0.09,1665630.0,729238294.0
PCBL,2021-05,440.33,466.0,420.0,0.23,2411360.0,1070284633.0
PCBL,2021-06,469.14,498.0,443.0,0.14,4654312.0,2201627060.0
PCBL,2021-07,488.48,535.0,458.0,0.5,3068744.0,1525985010.6
PCBL,2021-08,512.97,540.0,495.0,-0.1,3635537.0,1874705532.0
PCBL,2021-09,487.57,520.0,440.1,-0.2,2947116.0,1438873294.8
PCBL,2021-10,473.02,494.0,441.0,0.07,1157016.0,546357529.5
PCBL,2021-11,465.73,498.0,450.2,-0.29,1461244.0,686404013.1
PCBL,2021-12,364.32,460.0,310.0,-0.74,1476810.0,564635357.5
PCBL,2022-01,366.65,392.0,330.0,0.36,1517794.0,559816212.2
PCBL,2022-02,339.92,369.0,315.0,-0.68,847299.0,285935790.2
PCBL,2022-03,320.27,339.4,309.0,-0.07,617381.0,196917441.5
PCBL,2022-04,298.62,315.1,286.0,-0.27,1112730.0,332639213.0
PCBL,2022-05,284.69,298.0,271.2,-0.39,1012912.0,286438874.0
PCBL,2022-06,260.5,281.0,242.1,-0.27,1091645.0,282691196.6
PCBL,2022-07,255.84,271.9,238.5,0.11,1518881.0,386302661.0
PCBL,2022-08,242.54,267.0,232.6,-0.43,2191346.0,534471880.2
PCBL,2022-09,226.07,236.0,209.5,-0.24,1053685.0,236599756.2
PCBL,2022-10,222.81,228.0,215.2,0.16,521273.0,115369718.4
PCBL,2022-11,232.02,246.3,217.5,0.03,832293.0,193641796.5
PCBL,2022-12,222.59,232.0,209.6,0.11,1246804.0,274860807.6
PCBL,2023-01,224.13,247.0,215.1,-0.07,1436330.0,323869879.3
PCBL,2023-02,212.35,224.2,203.6,-0.38,1071776.0,227042738.7
PCBL,2023-03,201.28,209.0,195.1,-0.25,792118.0,159061022.6
PCBL,2023-04,196.77,208.0,189.9,0.02,728973.0,142659676.4
PCBL,2023-05,194.15,201.0,189.0,-0.12,619115.0,119767971.8
PCBL,2023-06,193.42,201.9,189.0,0.13,1161464.0,225079530.6
PCBL,2023-07,199.49,224.8,186.0,0.27,2294660.0,467380387.1
PCBL,2023-08,187.45,210.1,179.9,-0.59,1972002.0,373296891.4
PCBL,2023-09,181.96,186.6,176.4,0.07,809237.0,146452209.5
PCBL,2023-10,181.49,185.0,176.0,-0.09,646856.0,116629159.9
PCBL,2023-11,188.09,197.8,180.0,0.36,797123.0,148891227.7
